"feature","median_value"
"S2_NBR2_annual_mean",0.26566634864624
"S2_m11_NDRE",0.377880796790123
"S2_m09_re1",0.101625
"S1_DESC_VH_annual_max",-16.3596212142891
"S2_m12_NBR2",0.220208674669266
"S1_m09_ASC_VV_minus_VH",6.3123695899067
"S2_m05_blue",0.0413
"S2_m09_NBR",0.498715102672577
"S2_nir_annual_mean",0.253608333333333
"LST_summer_min_C",21.9697985206223
"S2_m10_blue",0.038475
"S2_m08_re1",0.1026
"S2_re1_annual_amplitude",0.0797
"S1_DESC_VV_minus_VH_annual_amplitude",2.71079536454361
"S2_NDMI_annual_amplitude",0.411698136478662
"S1_m05_ASC_VV_minus_VH",6.14545949910112
"S2_m06_EVI",0.513182120891605
"S2_re2_annual_max",0.30505
"S2_m07_NBR",0.527938634157181
"S2_m10_MNDWI",-0.498993292450905
"Soil_pH_30_100cm",5.67581105232239
"S1_m01_ASC_VV",-10.5109631066046
"S2_m07_re1",0.1061
"S2_NBR_annual_mean",0.402797016501427
"S2_m06_MNDWI",-0.508306324481964
"S2_NBR_annual_amplitude",0.441558197140694
