"feature","selected_in_n_outer_folds","mean_selection_rank"
"S2_NBR2_annual_mean",2,1
"S2_m11_NDRE",2,1.5
"S2_m09_re1",2,2
"S1_DESC_VH_annual_max",2,3.5
"S2_m12_NBR2",2,3.5
"S1_m09_ASC_VV_minus_VH",2,4.5
"S2_m05_blue",2,4.5
"S2_m09_NBR",1,1
"S2_nir_annual_mean",1,1
"LST_summer_min_C",1,2
"S2_m10_blue",1,2
"S2_m08_re1",1,3
"S2_re1_annual_amplitude",1,3
"S1_DESC_VV_minus_VH_annual_amplitude",1,4
"S2_NDMI_annual_amplitude",1,4
"S1_m05_ASC_VV_minus_VH",1,5
"S2_m06_EVI",1,5
"S2_re2_annual_max",1,5
"S2_m07_NBR",1,6
"S2_m10_MNDWI",1,6
"Soil_pH_30_100cm",1,6
"S1_m01_ASC_VV",1,7
"S2_m07_re1",1,7
"S2_NBR_annual_mean",1,7
"S2_m06_MNDWI",1,8
"S2_NBR_annual_amplitude",1,8
